country,country_code,year,tourist_arrivals
Aruba,ABW,2019,1951000
Africa Eastern and Southern,AFE,2019,39826701
Africa Western and Central,AFW,2016,13150775
Angola,AGO,2019,218000
Albania,ALB,2020,2658000
Andorra,AND,2020,5207000
Arab World,ARB,2019,142447574
United Arab Emirates,ARE,2020,8084000
Argentina,ARG,2019,7399000
Armenia,ARM,2020,375000
American Samoa,ASM,2020,899
Antigua and Barbuda,ATG,2020,384500
Australia,AUS,2020,1828000
Austria,AUT,2020,15091000
Azerbaijan,AZE,2020,796000
Burundi,BDI,2017,299000
Belgium,BEL,2020,2584000
Benin,BEN,2019,337000
Burkina Faso,BFA,2020,67000
Bangladesh,BGD,2019,323000
Bulgaria,BGR,2020,4973000
Bahrain,BHR,2020,1909000
"Bahamas, The",BHS,2020,1794500
Bosnia and Herzegovina,BIH,2020,197000
Belarus,BLR,2020,3598000
Belize,BLZ,2020,487000
Bermuda,BMU,2020,51400
Bolivia,BOL,2020,323299
Brazil,BRA,2019,6353000
Barbados,BRB,2019,966000
Brunei Darussalam,BRN,2020,1071000
Bhutan,BTN,2020,29799
Botswana,BWA,2018,1830000
Central African Republic,CAF,2019,87000
Canada,CAN,2019,32430000
Central Europe and the Baltics,CEB,2019,314638365
Switzerland,CHE,2019,11818000
Chile,CHL,2019,5431000
China,CHN,2020,30402000
Cote d'Ivoire,CIV,2020,668000
Cameroon,CMR,2019,1021000
"Congo, Dem. Rep.",COD,2016,351000
"Congo, Rep.",COG,2018,158000
Colombia,COL,2020,1396000
Comoros,COM,2020,7000
Cabo Verde,CPV,2020,180000
Costa Rica,CRI,2020,1146500
Caribbean small states,CSS,2019,19819087
Cuba,CUB,2020,1086000
Curacao,CUW,2019,1293000
Cayman Islands,CYM,2020,660000
Cyprus,CYP,2019,4117000
Czechia,CZE,2019,37202000
Germany,DEU,2020,12449000
Djibouti,DJI,2013,63000
Dominica,DMA,2020,140000
Denmark,DNK,2020,15595000
Dominican Republic,DOM,2020,2748000
Algeria,DZA,2020,591000
East Asia & Pacific (excluding high income),EAP,2019,292842169
Early-demographic dividend,EAR,2019,369336988
East Asia & Pacific,EAS,2019,490804002
Europe & Central Asia (excluding high income),ECA,2019,180880471
Europe & Central Asia,ECS,2019,1199188498
Ecuador,ECU,2019,2108000
"Egypt, Arab Rep.",EGY,2019,13026000
Euro area,EMU,2019,655573447
Eritrea,ERI,2016,142000
Spain,ESP,2020,36410000
Estonia,EST,2020,1695000
Ethiopia,ETH,2020,518000
European Union,EUU,2019,968873375
Fragile and conflict affected situations,FCS,2013,33260753
Finland,FIN,2020,896000
Fiji,FJI,2020,168000
France,FRA,2020,117109000
"Micronesia, Fed. Sts.",FSM,2019,18000
Gabon,GAB,2005,526000
United Kingdom,GBR,2020,11101000
Georgia,GEO,2020,1513000
Ghana,GHA,2015,897000
Guinea,GIN,2017,99000
"Gambia, The",GMB,2020,246000
Guinea-Bissau,GNB,2019,52400
Greece,GRC,2020,7406000
Grenada,GRD,2020,217000
Guatemala,GTM,2020,594000
Guam,GUM,2020,328000
Guyana,GUY,2020,86400
High income,HIC,2019,1522430052
"Hong Kong SAR, China",HKG,2020,3569000
Honduras,HND,2020,669000
Heavily indebted poor countries (HIPC),HPC,2019,29134874
Croatia,HRV,2020,21608000
Haiti,HTI,2019,938000
Hungary,HUN,2020,31641000
IBRD only,IBD,2019,852166955
IDA & IBRD total,IBT,2019,974462802
IDA total,IDA,2019,100914423
Indonesia,IDN,2020,4053000
IDA only,IDX,2019,63144062
India,IND,2019,17914000
Ireland,IRL,2019,10951000
"Iran, Islamic Rep.",IRN,2020,1550000
Iraq,IRQ,2013,892000
Iceland,ISL,2020,488000
Israel,ISR,2019,4905000
Italy,ITA,2020,38419000
Jamaica,JAM,2020,1329699
Jordan,JOR,2020,1240000
Japan,JPN,2020,4115799
Kazakhstan,KAZ,2020,2035000
Kenya,KEN,2019,2049000
Kyrgyz Republic,KGZ,2019,8508000
Cambodia,KHM,2020,1306000
Kiribati,KIR,2019,12000
St. Kitts and Nevis,KNA,2020,301399
"Korea, Rep.",KOR,2020,2519000
Kuwait,KWT,2020,2161000
Latin America & Caribbean (excluding high income),LAC,2019,165233236
Lao PDR,LAO,2020,886400
Lebanon,LBN,2019,1936000
Libya,LBY,2008,760000
St. Lucia,LCA,2020,432500
Latin America & Caribbean,LCN,2019,201856013
Least developed countries: UN classification,LDC,2019,40176417
Low income,LIC,2019,17409971
Liechtenstein,LIE,2020,58400
Sri Lanka,LKA,2020,540000
Lower middle income,LMC,2019,207722217
Low & middle income,LMY,2019,814041186
Lesotho,LSO,2019,1142000
Late-demographic dividend,LTE,2019,549832276
Lithuania,LTU,2020,2284000
Luxembourg,LUX,2020,525000
Latvia,LVA,2020,3204000
"Macao SAR, China",MAC,2020,5897000
Morocco,MAR,2020,2802000
Monaco,MCO,2020,159000
Moldova,MDA,2020,29000
Madagascar,MDG,2020,87099
Maldives,MDV,2020,555000
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2019,152571279
Mexico,MEX,2020,51128000
Marshall Islands,MHL,2019,6099
Middle income,MIC,2019,790163362
North Macedonia,MKD,2020,118000
Mali,MLI,2019,217000
Malta,MLT,2020,718000
Myanmar,MMR,2020,903000
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2019,65756226
Montenegro,MNE,2020,351000
Mongolia,MNG,2020,66900
Northern Mariana Islands,MNP,2019,487000
Mozambique,MOZ,2019,2033000
Mauritania,MRT,2000,30000
Mauritius,MUS,2020,316000
Malawi,MWI,2018,871000
Malaysia,MYS,2020,4333000
North America,NAC,2019,198713000
Namibia,NAM,2020,187100
New Caledonia,NCL,2020,31000
Niger,NER,2020,85000
Nigeria,NGA,2016,5265000
Nicaragua,NIC,2020,474000
Netherlands,NLD,2020,7265000
Norway,NOR,2020,1397000
Nepal,NPL,2020,230000
New Zealand,NZL,2020,996000
OECD members,OED,2019,1364524985
Oman,OMN,2020,869000
Other small states,OSS,2019,51930012
Pakistan,PAK,2012,966000
Panama,PAN,2020,647000
Peru,PER,2020,1119000
Philippines,PHL,2020,1483000
Palau,PLW,2020,18399
Papua New Guinea,PNG,2020,39000
Poland,POL,2019,88515000
Pre-demographic dividend,PRE,2016,24362726
Puerto Rico (US),PRI,2020,3882000
Portugal,PRT,2020,4208000
Paraguay,PRY,2020,1077000
West Bank and Gaza,PSE,2020,93000
Pacific island small states,PSS,2019,1752269
Post-demographic dividend,PST,2019,1275198369
French Polynesia,PYF,2020,89400
Qatar,QAT,2020,582000
Romania,ROU,2020,5023000
Russian Federation,RUS,2020,6359000
Rwanda,RWA,2019,1634000
South Asia,SAS,2019,27102764
Saudi Arabia,SAU,2019,20292000
Sudan,SDN,2018,836000
Senegal,SEN,2017,1376000
Singapore,SGP,2020,2742000
Solomon Islands,SLB,2020,4400
Sierra Leone,SLE,2019,71000
El Salvador,SLV,2020,707000
San Marino,SMR,2019,1904000
Serbia,SRB,2020,446000
Sub-Saharan Africa (excluding high income),SSA,2019,55555231
Sub-Saharan Africa,SSF,2019,56014499
Small states,SST,2019,79086475
Sao Tome and Principe,STP,2018,33400
Suriname,SUR,2017,279000
Slovak Republic,SVK,2018,15299000
Slovenia,SVN,2020,1216000
Sweden,SWE,2020,1957000
Eswatini,SWZ,2020,345299
Sint Maarten (Dutch part),SXM,2019,1952000
Seychelles,SYC,2020,124500
Syrian Arab Republic,SYR,2019,2424000
Turks and Caicos Islands,TCA,2020,370399
Chad,TCD,2020,10399
East Asia & Pacific (IDA & IBRD countries),TEA,2019,289300101
Europe & Central Asia (IDA & IBRD countries),TEC,2019,331546366
Togo,TGO,2020,482000
Thailand,THA,2019,39916000
Tajikistan,TJK,2018,1035000
Turkmenistan,TKM,1998,380000
Latin America & the Caribbean (IDA & IBRD countries),TLA,2019,172908916
Timor-Leste,TLS,2019,74800
