city,meal_price,coffee_price,beer_price,transport_ticket,taxi_km,rent_city_center,avg_salary,daily_accommodation,daily_cost_estimate
"Saint Petersburg, Russia",7.01,1.95,2.1,0.7,0.28,521.4,636.17,26.07,35.73
"Samara, Russia",6.91,1.59,0.93,0.39,0.25,284.79,385.06,14.2395,23.1295
"Algiers, Algeria",3.12,0.83,1.75,0.31,0.23,252.22,287.98,12.611,16.871000000000002
"Istanbul, Turkey",4.42,1.83,2.65,0.52,0.46,323.47,456.05,16.1735,22.9435
"Porto Alegre, Brazil",3.47,1.17,1.39,0.82,0.45,192.76,330.53,9.637999999999998,15.097999999999999
"Izmir, Turkey",4.05,1.79,2.28,0.52,0.55,234.09,425.7,11.7045,18.0645
"Helsinki, Finland",14.21,4.46,6.83,3.06,1.09,1099.97,2728.86,54.9985,76.7285
"Milan, Italy",16.41,1.65,5.47,2.19,1.53,1276.86,1807.34,63.842999999999996,84.09299999999999
"Cairo, Egypt",4.73,1.95,2.05,0.32,0.19,229.92,269.17,11.495999999999999,18.496
"Rio de Janeiro, Brazil",4.34,1.14,1.39,0.73,0.53,311.8,340.65,15.590000000000002,21.8
"Banja Luka, Bosnia And Herzegovina",4.47,0.95,1.12,1.01,0.84,250.6,466.43,12.530000000000001,18.96
"Baku, Azerbaijan",5.87,2.34,1.17,0.18,0.47,345.78,338.28,17.289,25.679000000000002
"Guadalajara, Mexico",4.3,1.89,1.29,0.41,0.43,315.64,469.23,15.782,22.381999999999998
"Kathmandu, Nepal",2.47,1.67,2.47,0.16,0.8,165.41,201.1,8.2705,12.570500000000001
"Hanoi, Vietnam",1.76,1.78,0.85,0.3,0.51,349.46,413.66,17.473,21.313
"Ho Chi Minh City, Vietnam",2.14,1.95,0.86,0.26,0.6,516.66,395.49,25.833,30.183
"Mexico City, Mexico",5.59,1.99,1.72,0.26,0.22,543.42,556.27,27.170999999999996,35.010999999999996
"Rome, Italy",16.41,1.36,5.47,1.64,1.56,1032.52,1628.56,51.626,71.036
"Monterrey, Mexico",5.93,2.12,1.48,0.55,0.36,313.51,668.65,15.6755,24.2755
"Yekaterinburg, Russia",5.52,1.56,1.38,0.39,0.21,325.07,518.85,16.2535,23.723499999999998
"Sarajevo, Bosnia And Herzegovina",3.92,1.45,1.96,1.01,0.67,280.8,570.1,14.040000000000003,20.42
"Kharkiv, Ukraine",4.51,1.15,0.94,0.3,0.3,370.9,369.38,18.545,24.505000000000003
"Kiev (Kyiv), Ukraine",5.59,1.23,1.12,0.3,0.26,613.15,554.02,30.6575,37.777499999999996
"Calgary, Canada",14.28,3.31,5.0,2.5,1.43,857.85,3289.17,42.892500000000005,62.9825
"Tunis, Tunisia",2.07,0.7,1.73,0.22,0.35,200.04,313.09,10.002,12.992
"Edmonton, Canada",14.35,3.13,4.31,2.51,1.18,840.05,2644.11,42.0025,61.9925
"Amsterdam, Netherlands",17.51,3.6,5.47,3.5,2.57,1747.73,3192.69,87.3865,111.9965
"Belgrade, Serbia",6.04,1.59,1.86,0.84,0.65,375.28,511.95,18.764,27.234
"Odessa (Odesa), Ukraine",5.64,1.2,0.94,0.26,0.26,346.33,402.86,17.316499999999998,24.4165
"Paris, France",16.45,3.84,7.68,2.08,1.65,1310.24,2435.97,65.512,87.882
"Eindhoven, Netherlands",16.41,3.04,5.47,4.38,3.28,1232.0,2840.13,61.60000000000001,85.43
"Thessaloniki, Greece",13.13,3.71,4.38,1.09,1.09,403.6,738.85,20.180000000000003,38.11
"Ottawa, Canada",14.28,3.01,5.0,2.57,1.33,1070.02,2953.69,53.501,73.36099999999999
"Sofia, Bulgaria",6.72,1.39,1.68,0.9,0.45,426.28,789.19,21.313999999999997,30.323999999999998
"Rotterdam, Netherlands",15.32,3.17,4.38,4.38,2.33,1252.98,2554.38,62.649,85.519
"Varna, Bulgaria",6.71,1.38,1.12,0.56,0.5,269.18,593.41,13.459,22.109
"Novi Sad, Serbia",4.96,1.23,1.67,0.6,0.53,301.52,529.54,15.076,21.866
"Utrecht, Netherlands",17.51,3.51,5.47,3.02,2.52,1321.82,2661.75,66.091,90.131
"Berlin, Germany",9.84,3.05,3.83,3.11,2.19,1011.9,2726.83,50.595,66.595
"Beirut, Lebanon",10.0,4.41,3.5,1.32,2.0,833.74,898.21,41.687,57.417
"Austin, TX, United States",15.0,4.26,4.0,1.45,1.5,1723.66,4359.31,86.183,106.893
"Singapore, Singapore",10.0,3.97,7.06,1.27,0.44,1988.16,3438.35,99.40800000000002,114.64800000000001
"Toronto, Canada",14.28,3.13,5.71,2.32,1.43,1586.18,2838.83,79.309,99.039
"Auckland, New Zealand",12.21,2.94,6.1,2.29,1.62,1146.97,2565.15,57.3485,74.7885
"Vancouver, Canada",12.92,3.22,5.02,2.15,1.35,1499.06,3079.0,74.953,93.243
"Tokyo, Japan",7.42,3.6,4.64,1.86,3.96,1200.85,2967.88,60.04249999999999,72.92249999999999
"Victoria, Canada",13.64,3.28,5.03,1.79,1.44,1124.65,2623.88,56.2325,74.9425
"Winnipeg, Canada",10.77,3.3,4.31,2.12,1.26,722.61,2526.99,36.1305,52.320499999999996
"Boston, MA, United States",17.0,4.15,7.0,2.7,1.86,2743.45,5120.52,137.17249999999999,161.02249999999998
"Chicago, IL, United States",15.0,4.3,6.0,2.5,1.4,1876.9,4241.47,93.84500000000001,115.64500000000001
"Almaty, Kazakhstan",4.8,1.82,1.2,0.24,0.36,327.18,427.99,16.359,23.219
"Oslo, Norway",17.54,4.24,9.05,3.62,1.41,1321.11,3166.68,66.0555,91.4555
"Astana (Nur-Sultan), Kazakhstan",7.24,1.87,1.21,0.33,0.3,314.47,546.37,15.723500000000001,25.1635
"Frankfurt, Germany",10.94,3.09,4.38,3.01,2.19,1148.49,3052.4,57.4245,74.4645
"Bratislava, Slovakia",6.56,2.33,2.19,0.98,0.88,673.22,1192.44,33.661,43.531000000000006
"Dallas, TX, United States",15.0,3.99,4.5,3.0,1.12,1548.11,4675.77,77.40549999999999,99.3955
"Denver, CO, United States",15.0,4.63,6.0,3.0,1.83,1678.54,4410.84,83.92699999999999,106.55699999999999
"Zagreb, Croatia",7.93,1.69,2.16,0.58,0.72,522.12,967.79,26.106,36.306
"Hamburg, Germany",13.13,3.36,4.38,3.61,2.19,959.39,2656.8,47.9695,68.0695
"Krakow (Cracow), Poland",6.02,2.24,2.41,0.91,0.55,547.52,879.87,27.376,36.546
"Wellington, New Zealand",10.38,2.86,5.49,3.05,1.77,1112.0,2874.51,55.60000000000001,71.89000000000001
"Riga, Latvia",7.68,2.82,3.29,1.26,0.77,457.61,911.53,22.8805,34.6405
"Gdansk, Poland",6.05,2.26,2.18,0.77,0.58,608.24,857.51,30.412000000000003,39.492000000000004
"Santiago, Chile",7.31,2.37,3.66,0.98,1.22,407.41,646.04,20.3705,31.0305
