country,city,condition
Afghanistan,Kabul,Sunny
Albania,Tirana,Partly cloudy
Algeria,Algiers,Partly cloudy
Andorra,Andorra La Vella,Sunny
Angola,Luanda,Partly cloudy
Antigua and Barbuda,Saint John's,Light rain
Argentina,Buenos Aires,Clear
Armenia,Yerevan,Partly cloudy
Australia,Canberra,Clear
Austria,Vienna,Light rain
Azerbaijan,Baku,Sunny
Bahamas,Nassau,Clear
Bahrain,Manama,Sunny
Bangladesh,Dhaka,Cloudy
Barbados,Bridgetown,Partly cloudy
Belarus,Minsk,Sunny
Belgium,Brussels,Partly cloudy
Belize,Belmopan,Patchy rain possible
Benin,Porto-Novo,Partly cloudy
Bhutan,Thimphu,Patchy rain possible
Bolivia,Sucre,Clear
Bosnia and Herzegovina,Sarajevo,Partly cloudy
Botswana,Gaborone,Sunny
Brazil,Bras,Clear
Brunei Darussalam,Bandar Seri Begawan,Partly cloudy
Bulgaria,Sofia,Partly cloudy
Burkina Faso,Ouagadougou,Partly cloudy
Burundi,Bujumbura,Partly cloudy
Madagascar,Ivory,Sunny
Cape Verde,Praia,Partly cloudy
Cambodia,Phnom Penh,Moderate or heavy rain with thunder
Cameroon,Bafoussam,Patchy rain possible
Canada,Ottawa,Clear
Central African Republic,Bangui,Partly cloudy
Chad,N'djamena,Sunny
Chile,Santiago,Clear
China,Beijing,Sunny
Bulgaria,Bogot,Sunny
Comoros,Moroni,Partly cloudy
Congo,Brazzaville,Partly cloudy
Costa Rica,San Juan,Clear
Croatia,Zagreb,Partly cloudy
Cuba,Havana,Partly cloudy
Cyprus,Nicosia,Partly cloudy
Czech Republic,Prague,Overcast
Democratic Republic of Congo,Kinshasa,Partly cloudy
Denmark,Copenhagen,Sunny
Djibouti,Djibouti,Mist
Dominica,Roseau,Light rain shower
Dominican Republic,Santo Domingo,Partly cloudy
Ecuador,Quito,Clear
Egypt,Cairo,Partly cloudy
El Salvador,San Salvador,Light rain
Equatorial Guinea,Malabo,Light rain shower
Eritrea,Asmara,Patchy rain possible
Estonia,Tallinn,Partly cloudy
Swaziland,Mbabane,Sunny
Ethiopia,Addis Ababa,Partly cloudy
Fiji Islands,Suva,Partly cloudy
Finland,Helsinki,Partly cloudy
France,Paris,Partly cloudy
Gabon,Libreville,Light rain shower
Gambia,Banjul,Partly cloudy
Georgia,Tbilisi,Sunny
Germany,Berlin,Light rain
Ghana,Accra,Overcast
Greece,Athens,Partly cloudy
Grenada,Saint George's,Partly cloudy
Guatemala,Guatemala City,Mist
Guinea,Conakry,Partly cloudy
Guinea-Bissau,Bissau,Light rain
Guyana,Georgetown,Mist
Haiti,Port-Au-Prince,Clear
Vatican City,Vatican City,Moderate rain
Honduras,Tegucigalpa,Partly cloudy
